#meta:tz=Africa/Cairo|America/Adak|America/Anchorage|America/Boise|America/Chicago|America/Costa_Rica|America/Denver|America/Detroit|America/Hermosillo|America/Indiana/Indianapolis|America/Indiana/Knox|America/Indiana/Marengo|America/Indiana/Petersburg|America/Indiana/Tell_City|America/Indiana/Vevay|America/Indiana/Vincennes|America/Indiana/Winamac|America/Kentucky/Louisville|America/Kentucky/Monticello|America/Los_Angeles|America/Menominee|America/Moncton|America/New_York|America/Nome|America/North_Dakota/New_Salem|America/Panama|America/Phoenix|America/Puerto_Rico|America/St_Thomas|America/Tegucigalpa|Asia/Bahrain|Asia/Bangkok|Asia/Bishkek|Asia/Manila|Asia/Riyadh|Asia/Seoul|Asia/Tokyo|Australia/Darwin|Etc/GMT+11|Etc/GMT+12|Etc/GMT+5|Europe/Berlin|Europe/London|Europe/Madrid|Europe/Rome|Pacific/Chuuk|Pacific/Guam|Pacific/Honolulu|Pacific/Kwajalein|Pacific/Majuro|Pacific/Midway|Pacific/Palau|Pacific/Saipan;admin=---:---|AA:U.S. Armed Forces - Americas|AE:U.S. Armed Forces - Europe|AK:Alaska|AL:Alabama|AP:U.S. Armed Forces - Pacific|AR:Arkansas|AS:American Samoa|AZ:Arizona|CA:California|CO:Colorado|CT:Connecticut|DC:District of Columbia|DE:Delaware|FL:Florida|FM:Micronesia|GA:Georgia|GU:Guam|HI:Hawaii|IA:Iowa|ID:Idaho|IL:Illinois|IN:Indiana|KS:Kansas|KY:Kentucky|LA:Louisiana|MA:Massachusetts|MD:Maryland|ME:Maine|MH:Marshall Islands|MI:Michigan|MN:Minnesota|MO:Missouri|MP:Northern Mariana Islands|MS:Mississippi|MT:Montana|NC:North Carolina|ND:North Dakota|NE:Nebraska|NH:New Hampshire|NJ:New Jersey|NM:New Mexico|NV:Nevada|NY:New York|OH:Ohio|OK:Oklahoma|OR:Oregon|PA:Pennsylvania|PR:Puerto Rico|PW:Palau|RI:Rhode Island|SC:South Carolina|SD:South Dakota|TN:Tennessee|TX:Texas|UT:Utah|VA:Virginia|VI:U.S. Virgin Islands|VT:Vermont|WA:Washington|WI:Wisconsin|WV:West Virginia|WY:Wyoming;levels=State|County
Code,Name,Timezone,IsDefault,Admin1,Admin1Code
"00782","Comerio",27,true,48,48
"00783","Corozal",27,true,48,48
"00784","Guayama",27,true,48,48
"00785","Guayama",27,true,48,48
"00786","La Plata",27,true,48,48
"00791","Humacao",27,true,48,48
"00792","Humacao",27,true,48,48
"00794","Barranquitas",27,true,48,48
"00795","Juana Diaz",27,true,48,48
"00801","St Thomas",28,true,57,57
"00801","Charlotte Ama",28,false,57,57
"00801","Charlotte Amalie",28,false,57,57
"00802","Charlotte Amalie",28,false,57,57
"00802","St Thomas",28,true,57,57
"00802","Charlotte Ama",28,false,57,57
"00803","St Thomas",28,true,57,57
"00803","Charlotte Ama",28,false,57,57
"00803","Charlotte Amalie",28,false,57,57
"00804","St Thomas",28,true,57,57
"00804","Charlotte Ama",28,false,57,57
"00804","Charlotte Amalie",28,false,57,57
"00805","St Thomas",28,true,57,57
"00820","Christiansted",28,true,57,57
"00820","St Croix",28,false,57,57
"00821","Christiansted",28,true,57,57
"00822","Christiansted",28,true,57,57
"00823","St Croix",28,false,57,57
"00823","Christiansted",28,true,57,57
"00824","Christiansted",28,true,57,57
"00824","St Croix",28,false,57,57
"00830","St John",28,true,57,57
"00830","Cruz Bay",28,false,57,57
"00831","St John",28,true,57,57
"00831","Cruz Bay",28,false,57,57
"00840","Frederiksted",28,true,57,57
"00841","Frederiksted",28,true,57,57
"00850","Kingshill",28,true,57,57
"00851","Kingshill",28,true,57,57
"00901","Viejo Sn Juan",27,false,48,48
"00901","Viejo San Juan",27,false,48,48
"00901","San Juan",27,true,48,48
"00901","Old San Juan",27,false,48,48
"00902","San Juan",27,true,48,48
"00902","Old San Juan",27,false,48,48
"00902","Viejo San Juan",27,false,48,48
"00902","Viejo Sn Juan",27,false,48,48
"00906","San Juan",27,true,48,48
"00906","Pta De Tierra",27,false,48,48
"00906","Puerta De Tierra",27,false,48,48
"00907","Santurce",27,false,48,48
"00907","San Juan",27,true,48,48
"00907","Condado",27,false,48,48
"00907","Miramar",27,false,48,48
"00908","San Juan",27,true,48,48
"00909","Santurce",27,false,48,48
"00909","Minillas",27,false,48,48
"00909","Fdez Juncos",27,false,48,48
"00909","San Juan",27,true,48,48
"00909","Fernandez Juncos",27,false,48,48
"00910","San Juan",27,true,48,48
